Time_sec,Temperature_degC,,,start temp,101.5571429
1,100.75,,,end temp,26.97580645
1.25,100.75,,,temp at tau,54.41274681
1.5,101,,,tau + start,11.41718502
1.75,101,,,start time,9.5
2,101.25,,,tau,1.917185023
2.25,101.25,,,,
2.5,101.25,,,,
2.75,101.5,,,,
3,101.5,,,,
3.25,101.5,,,,
3.5,101.5,,,,
3.75,101.5,,,,
4,101.75,,,,
4.25,101.75,,,,
4.5,101.75,,,,
4.75,101.75,,,,
5,101.75,,,,
5.25,101.75,,,,
5.5,101.75,,,,
5.75,101.75,,,,
6,101.75,,,,
6.25,101.75,,,,
6.5,102,,,,
6.75,101.75,,,,
7,101.75,,,,
7.25,101.75,,,,
7.5,102,,,,
7.75,102,,,,
8,102,,,,
8.25,102,,,,
8.5,102,,,,
8.75,102,,,,
9,102,,,,
9.25,101.25,,,,
9.5,99.75,,,,
9.75,96.75,,,,
10,94.5,,,,
10.25,92,,,,
10.5,78.25,,,,
10.75,69.25,,,,
11.001,63,,,,
11.25,56.5,,,,
11.5,53.25,,,,
11.75,50.5,,,,
12,47.75,,,,
12.25,46.25,,,,
12.5,44.5,,,,
12.75,43.75,,,,
13,42.5,,,,
13.25,41.25,,,,
13.5,40.5,,,,
13.75,39.75,,,,
14,38.75,,,,
14.25,38,,,,
14.5,37.5,,,,
14.75,37,,,,
15,36.25,,,,
15.25,35.75,,,,
15.5,35.5,,,,
15.75,35,,,,
16,34.5,,,,
16.25,34.25,,,,
16.5,33.75,,,,
16.75,33.5,,,,
17,33.25,,,,
17.25,33,,,,
17.5,32.5,,,,
17.75,32.5,,,,
18,32,,,,
18.25,32,,,,
18.5,31.75,,,,
18.75,31.5,,,,
19,31.25,,,,
19.25,31.25,,,,
19.5,31,,,,
19.75,30.75,,,,
20,30.5,,,,
20.25,30.5,,,,
20.5,30.25,,,,
20.75,30.25,,,,
21,30,,,,
21.25,30,,,,
21.5,29.75,,,,
21.75,29.75,,,,
22,29.75,,,,
22.25,29.5,,,,
22.5,29.5,,,,
22.75,29.25,,,,
23,29.25,,,,
23.25,29.25,,,,
23.5,29.25,,,,
23.75,29,,,,
24,29,,,,
24.25,28.75,,,,
24.5,28.75,,,,
24.75,28.75,,,,
25,28.75,,,,
25.25,28.75,,,,
25.5,28.5,,,,
25.75,28.5,,,,
26,28.5,,,,
26.25,28.25,,,,
26.5,28.25,,,,
26.75,28.25,,,,
27.001,28.25,,,,
27.25,28.25,,,,
27.5,28.25,,,,
27.75,28,,,,
28,28,,,,
28.25,28,,,,
28.5,28,,,,
28.75,28,,,,
29,28,,,,
29.25,27.75,,,,
29.5,27.75,,,,
29.75,27.75,,,,
30,27.75,,,,
30.25,27.75,,,,
30.5,27.75,,,,
30.75,27.5,,,,
31,27.75,,,,
31.25,27.75,,,,
31.5,27.5,,,,
31.75,27.5,,,,
32,27.5,,,,
32.25,27.5,,,,
32.5,27.5,,,,
32.75,27.5,,,,
33,27.5,,,,
33.25,27.5,,,,
33.5,27.5,,,,
33.75,27.5,,,,
34,27.25,,,,
34.25,27.5,,,,
34.5,27.5,,,,
34.75,27.5,,,,
35,27.25,,,,
35.25,27.5,,,,
35.5,27.25,,,,
35.75,27.25,,,,
36,27.25,,,,
36.25,27.25,,,,
36.5,27.25,,,,
36.75,27.25,,,,
37,27.25,,,,
37.25,27.25,,,,
37.5,27.25,,,,
37.75,27.25,,,,
38,27.25,,,,
38.25,27.25,,,,
38.5,27.25,,,,
38.75,27.25,,,,
39,27.25,,,,
39.25,27.25,,,,
39.5,27,,,,
39.75,27,,,,
40,27,,,,
40.25,27,,,,
40.5,27,,,,
40.75,27,,,,
41,27,,,,
41.25,27,,,,
41.5,27,,,,
41.75,27,,,,
42,27,,,,
42.25,27,,,,
42.5,27,,,,
42.75,27,,,,
43.001,27,,,,
43.25,27,,,,
43.5,27,,,,
43.75,27,,,,
44,27,,,,
44.25,27,,,,
44.5,27,,,,
44.75,27,,,,
45,27,,,,
45.25,27,,,,
45.5,27,,,,
45.75,27,,,,
46,27,,,,
46.25,27,,,,
46.5,27,,,,
46.75,27,,,,
47,27,,,,
47.25,27,,,,
47.5,27,,,,
47.75,27,,,,
48,27,,,,
48.25,27,,,,
48.5,26.75,,,,
48.75,27,,,,
49,27,,,,
49.25,27,,,,
49.5,27,,,,
49.75,27,,,,
50,27,,,,
50.25,27,,,,
50.5,27,,,,
50.75,26.75,,,,
51,27,,,,
51.25,27,,,,
51.5,26.75,,,,
51.75,26.75,,,,
52,27,,,,
52.25,27,,,,
52.5,27,,,,
52.75,27,,,,
53,26.75,,,,
53.25,26.75,,,,
53.5,27,,,,
53.75,27,,,,
54,26.75,,,,
54.25,26.75,,,,
54.5,26.75,,,,
54.75,26.75,,,,
55,26.75,,,,
55.25,26.75,,,,
55.5,26.75,,,,
55.75,26.75,,,,
56,26.75,,,,
56.25,26.75,,,,
56.5,26.75,,,,
56.75,26.75,,,,
57,26.75,,,,
57.25,26.75,,,,
57.5,26.75,,,,
57.75,26.75,,,,
58,26.75,,,,
58.25,26.75,,,,
58.5,26.75,,,,
